Plan_Tarihi;Toplam_Is_Emri;Toplam_Bobin;Toplam_Metraj;Ortalama_Zorluk;Aktif_Hat;Aktif_Operator;Bakim_Gunu
9.12.2025;162;5167;807480;3.728.395.061.728.390;9;5;False
10.01.2026;146;4308;681635;38.904.109.589.041.000;9;6;True
10.02.2026;171;4997;807510;4.128.654.970.760.230;9;6;False
10.03.2026;172;5078;805875;39.709.302.325.581.300;9;6;False
10.04.2026;159;4912;808965;38.867.924.528.301.800;9;6;False
10.06.2025;165;4781;808055;3.824.242.424.242.420;9;7;False
10.07.2025;169;4923;806945;4.071.005.917.159.760;9;7;False
10.09.2025;175;5046;805840;38.514.285.714.285.700;9;9;False
10.10.2025;168;4957;805095;3.880.952.380.952.380;9;5;False
10.11.2025;135;4284;680850;36.222.222.222.222.200;9;6;True
10.12.2025;164;4934;808175;39.878.048.780.487.800;9;7;False
11.02.2026;167;4964;806050;3.808.383.233.532.930;9;6;False
11.03.2026;167;5069;805645;4.0;9;6;False
11.04.2026;141;4058;681730;401.418.439.716.312;9;8;True
11.05.2026;133;4235;681070;38.421.052.631.578.900;9;7;True
11.06.2025;163;5151;805115;403.680.981.595.092;9;5;False
11.07.2025;156;4728;805390;4.006.410.256.410.250;9;9;False
11.08.2025;152;4193;682385;35.657.894.736.842.100;9;6;True
11.09.2025;170;5073;807125;4.047.058.823.529.410;9;7;False
11.10.2025;139;4382;683025;3.870.503.597.122.300;9;6;True
11.11.2025;171;4936;804875;4.052.631.578.947.360;9;7;False
11.12.2025;164;4851;804365;38.841.463.414.634.100;9;7;False
12.01.2026;132;4145;683530;37.954.545.454.545.400;9;6;True
12.02.2026;155;4948;804035;38.838.709.677.419.300;9;8;False
12.03.2026;159;4858;804155;3.842.767.295.597.480;9;6;False
12.05.2026;155;4801;804465;39.548.387.096.774.100;9;7;False
12.06.2025;169;5248;805435;39.526.627.218.934.900;9;7;False
12.07.2025;132;4044;678770;38.484.848.484.848.400;9;5;True
12.08.2025;172;4948;806325;39.651.162.790.697.600;9;6;False
12.09.2025;165;4865;807280;3.806.060.606.060.600;9;8;False
12.11.2025;175;5168;808025;39.257.142.857.142.800;9;7;False
12.12.2025;160;5063;805065;403.125;9;7;False
13.01.2026;152;4752;806280;3.986.842.105.263.150;9;7;False
13.02.2026;163;4959;806050;3.901.840.490.797.540;9;7;False
13.03.2026;154;4793;804300;38.051.948.051.948.000;9;6;False
13.04.2026;159;4582;681500;37.735.849.056.603.700;9;8;True
13.05.2026;165;5061;806500;3.903.030.303.030.300;9;6;False
13.06.2025;170;5004;807820;4.035.294.117.647.050;9;7;False
13.08.2025;169;5333;805190;4.029.585.798.816.560;9;6;False
13.09.2025;159;4247;679615;4.062.893.081.761.000;9;8;True
13.10.2025;139;4117;683460;3.985.611.510.791.360;9;6;True
13.11.2025;167;5069;808155;39.221.556.886.227.500;9;6;False
13.12.2025;154;4347;681760;38.506.493.506.493.500;9;5;True
14.01.2026;153;5091;806205;38.300.653.594.771.200;9;7;False
14.02.2026;143;4274;682460;4.027.972.027.972.020;9;5;True
14.03.2026;139;4328;682680;4.014.388.489.208.630;9;8;True
14.04.2026;170;5267;803915;3.976.470.588.235.290;9;6;False
14.05.2026;159;4946;803830;4.037.735.849.056.600;9;7;False
14.06.2025;136;4130;681150;38.455.882.352.941.100;9;7;True
14.07.2025;142;4042;681785;3.852.112.676.056.330;9;6;True
14.08.2025;173;4852;805415;38.092.485.549.132.900;9;7;False
14.10.2025;158;4894;805570;41.075.949.367.088.600;9;7;False
14.11.2025;160;4974;806645;401.875;9;6;False
15.01.2026;169;4919;805625;38.402.366.863.905.300;9;6;False
15.04.2026;155;4958;808070;38.838.709.677.419.300;9;6;False
15.05.2026;163;4982;809010;3.871.165.644.171.770;9;8;False
15.07.2025;169;5075;807480;39.171.597.633.136.000;9;7;False
15.08.2025;170;5107;805090;39.411.764.705.882.300;9;6;False
15.09.2025;148;4200;679525;3.554.054.054.054.050;9;6;True
15.10.2025;158;5069;802440;4.018.987.341.772.150;9;7;False
15.11.2025;135;4141;682880;3.Aðu;9;5;True
15.12.2025;133;4194;682200;4.022.556.390.977.440;9;8;True
16.01.2026;166;4895;808175;4.096.385.542.168.670;9;5;False
16.02.2026;126;3977;682685;35.555.555.555.555.500;9;7;True
16.03.2026;135;4348;681100;3.762.962.962.962.960;9;7;True
16.04.2026;160;5003;806715;398.125;9;7;False
16.05.2026;134;4062;680885;391.044.776.119.403;9;6;True
16.06.2025;153;4306;682715;4.071.895.424.836.600;9;7;True
16.07.2025;173;5094;809160;4.104.046.242.774.560;9;6;False
16.08.2025;130;4133;681325;39.307.692.307.692.300;9;7;True
16.09.2025;162;5125;808190;3.808.641.975.308.640;9;7;False
16.10.2025;177;5395;806045;38.926.553.672.316.300;9;4;False
16.12.2025;163;5000;808970;4.098.159.509.202.450;9;6;False
17.01.2026;147;4294;682015;4.0;9;6;True
17.02.2026;161;4817;804750;3.888.198.757.763.970;9;6;False
17.03.2026;162;5020;806665;37.037.037.037.037.000;9;8;False
17.04.2026;157;4863;804395;4.095.541.401.273.880;9;6;False
17.06.2025;183;5073;806850;3.726.775.956.284.150;9;8;False
17.07.2025;170;4797;805015;37.294.117.647.058.800;9;6;False
17.09.2025;153;4776;807135;3.718.954.248.366.010;9;7;False
17.10.2025;150;4699;802750;4.013.333.333.333.330;9;5;False
17.11.2025;139;4225;682520;36.690.647.482.014.300;9;7;True
17.12.2025;154;5094;805110;3.831.168.831.168.830;9;7;False
18.02.2026;152;5040;807180;41.118.421.052.631.500;9;8;False
18.03.2026;158;4710;806180;38.164.556.962.025.300;9;5;False
18.04.2026;145;4239;682410;36.344.827.586.206.800;9;6;True
18.05.2026;143;4088;681860;4.041.958.041.958.040;9;8;True
18.06.2025;144;4979;807725;39.166.666.666.666.600;9;6;False
18.07.2025;171;5083;805890;39.415.204.678.362.500;9;8;False
18.08.2025;139;4326;680385;3.820.143.884.892.080;9;7;True
18.09.2025;161;4999;807415;3.888.198.757.763.970;9;7;False
18.10.2025;135;4224;680820;4.207.407.407.407.400;9;6;True
18.11.2025;164;4912;807190;4.024.390.243.902.430;9;7;False
18.12.2025;158;4977;805365;39.367.088.607.594.900;9;7;False
19.01.2026;137;4054;680315;4.109.489.051.094.890;9;5;True
19.02.2026;156;4869;807725;38.205.128.205.128.200;9;5;False
19.03.2026;168;4731;807145;3.994.047.619.047.610;9;5;False
19.05.2026;167;5331;808365;38.622.754.491.017.900;9;8;False
19.06.2025;158;4917;804130;3.829.113.924.050.630;9;7;False
19.07.2025;153;4412;681865;3.888.888.888.888.880;9;8;True
19.08.2025;172;5000;806100;3.941.860.465.116.270;9;6;False
19.09.2025;162;4832;807340;3.802.469.135.802.460;9;7;False
19.11.2025;164;5010;807925;3.817.073.170.731.700;9;7;False
19.12.2025;153;4862;807585;4.006.535.947.712.410;9;7;False
20.01.2026;161;4964;804855;39.440.993.788.819.800;9;7;False
20.02.2026;164;4798;807570;38.963.414.634.146.300;9;7;False
20.03.2026;152;4895;806375;4.105.263.157.894.730;9;6;False
20.04.2026;133;4335;680360;3.819.548.872.180.450;9;6;True
20.05.2026;169;4940;808390;3.940.828.402.366.860;9;7;False
20.06.2025;150;4957;806910;4.173.333.333.333.330;9;7;False
20.08.2025;166;5054;807410;39.939.759.036.144.500;9;7;False
20.09.2025;126;4304;682705;37.857.142.857.142.800;9;6;True
20.10.2025;134;4287;682760;39.477.611.940.298.500;9;6;True
20.11.2025;168;4973;807700;39.345.238.095.238.000;9;5;False
20.12.2025;144;4156;681655;38.194.444.444.444.400;9;6;True
21.01.2026;165;5127;807075;37.696.969.696.969.600;9;6;False
21.02.2026;142;4194;679980;39.295.774.647.887.300;9;6;True
21.03.2026;140;4263;682340;37.785.714.285.714.200;9;5;True
21.04.2026;167;5214;807900;4.041.916.167.664.670;9;8;False
21.05.2026;181;5194;805255;3.856.353.591.160.220;9;6;False
21.06.2025;145;4244;682290;39.379.310.344.827.500;9;7;True
21.07.2025;137;4129;682770;3.934.306.569.343.060;9;7;True
21.08.2025;162;5064;805355;3.771.604.938.271.600;9;7;False
21.10.2025;169;5059;805215;39.940.828.402.366.800;9;6;False
21.11.2025;165;4910;807510;3.787.878.787.878.780;9;7;False
22.01.2026;165;4832;807285;3.624.242.424.242.420;9;8;False
22.04.2026;159;4955;805025;38.742.138.364.779.800;9;7;False
22.05.2026;161;5097;805195;38.447.204.968.944.000;9;7;False
22.07.2025;172;4957;807850;39.186.046.511.627.900;9;7;False
22.08.2025;166;5119;806690;38.493.975.903.614.400;9;6;False
22.09.2025;144;4324;681155;4.034.722.222.222.220;9;6;True
22.10.2025;163;5007;804385;38.650.306.748.466.200;9;7;False
22.11.2025;139;4071;679415;4.043.165.467.625.890;9;6;True
22.12.2025;149;4350;677485;38.322.147.651.006.700;9;5;True
23.01.2026;161;5067;808555;39.627.329.192.546.500;9;5;False
23.02.2026;160;4509;680195;3.875;9;6;True
23.03.2026;130;4077;681425;4.107.692.307.692.300;9;7;True
23.04.2026;141;4705;805500;3.893.617.021.276.590;9;7;False
23.05.2026;139;4235;683265;379.136.690.647.482;9;7;True
23.06.2025;142;4341;677235;4.197.183.098.591.540;9;6;True
23.07.2025;164;4921;804570;39.695.121.951.219.500;9;6;False
23.08.2025;138;4166;682815;4.057.971.014.492.750;9;6;True
23.09.2025;169;5005;804165;3.964.497.041.420.110;9;7;False
23.10.2025;156;5033;807305;4.012.820.512.820.510;9;5;False
23.12.2025;177;4883;808165;392.090.395.480.226;9;7;False
24.01.2026;144;4318;681485;3.763.888.888.888.880;9;6;True
24.02.2026;173;4969;808325;39.653.179.190.751.400;9;6;False
24.03.2026;147;4904;807565;37.891.156.462.585.000;9;7;False
24.04.2026;167;5002;807915;37.784.431.137.724.500;9;5;False
24.06.2025;170;5117;807325;4.Oca;9;6;False
24.07.2025;172;5139;807000;3.953.488.372.093.020;9;6;False
24.09.2025;161;5027;806765;37.639.751.552.795.000;9;7;False
24.10.2025;156;4937;806265;Mar.75;9;6;False
24.11.2025;124;4107;679155;37.661.290.322.580.600;9;7;True
24.12.2025;170;4993;807770;39.705.882.352.941.100;9;5;False
25.02.2026;170;4875;806625;38.411.764.705.882.300;9;5;False
25.03.2026;161;4899;803800;3.670.807.453.416.140;9;7;False
25.04.2026;140;4255;680905;4.042.857.142.857.140;9;5;True
25.05.2026;134;4109;681050;3.791.044.776.119.400;9;6;True
25.06.2025;154;4798;807290;37.467.532.467.532.400;9;6;False
25.07.2025;173;5141;805600;37.745.664.739.884.300;9;6;False
25.08.2025;147;4422;682625;3.857.142.857.142.850;9;7;True
25.09.2025;165;4934;808250;39.454.545.454.545.400;9;7;False
25.10.2025;141;4157;683535;37.872.340.425.531.900;9;7;True
25.11.2025;161;4846;806040;36.024.844.720.496.800;9;6;False
25.12.2025;169;5018;806970;38.757.396.449.704.100;9;7;False
26.01.2026;136;4142;682000;41.838.235.294.117.600;9;6;True
26.02.2026;153;4735;807565;3.973.856.209.150.320;9;5;False
26.03.2026;163;4943;806535;3.803.680.981.595.090;9;8;False
26.05.2026;174;5275;807405;3.810.344.827.586.200;9;7;False
26.06.2025;170;5016;808790;4.117.647.058.823.520;9;7;False
26.07.2025;145;4263;682365;39.310.344.827.586.200;9;7;True
26.08.2025;179;5028;806470;38.324.022.346.368.700;9;6;False
26.09.2025;156;4878;805400;3.948.717.948.717.940;9;6;False
26.11.2025;168;5075;806335;3.994.047.619.047.610;9;5;False
26.12.2025;145;4670;804800;36.344.827.586.206.800;9;6;False
27.01.2026;177;5247;806035;4.011.299.435.028.240;9;6;False
27.02.2026;150;4787;803015;4.Þub;9;6;False
27.03.2026;155;4714;807365;38.967.741.935.483.800;9;7;False
27.04.2026;145;4296;683715;39.793.103.448.275.800;9;7;True
27.05.2026;154;4782;807460;4.103.896.103.896.100;9;6;False
27.06.2025;162;5020;808150;39.382.716.049.382.700;9;6;False
27.08.2025;154;4857;807975;40.064.935.064.935.000;9;6;False
27.09.2025;128;4014;681820;40.703.125;9;5;True
27.10.2025;137;3951;681370;39.854.014.598.540.100;9;6;True
27.11.2025;161;4990;805485;37.763.975.155.279.500;9;6;False
27.12.2025;142;4225;679075;402.112.676.056.338;9;8;True
28.01.2026;173;5171;808135;40.520.231.213.872.800;9;6;False
28.02.2026;138;4341;683020;40.144.927.536.231.800;9;8;True
28.03.2026;146;4194;682555;4.013.698.630.136.980;9;6;True
28.04.2026;152;5111;805880;39.407.894.736.842.100;9;7;False
28.05.2026;154;5024;807065;39.220.779.220.779.200;9;6;False
28.06.2025;138;4246;682480;39.927.536.231.884.000;9;7;True
28.07.2025;143;4440;683955;3.839.160.839.160.830;9;7;True
28.08.2025;158;4822;805875;3.810.126.582.278.480;9;7;False
28.10.2025;141;4790;807920;3.730.496.453.900.700;9;7;False
28.11.2025;159;4822;805390;4.012.578.616.352.200;9;7;False
29.01.2026;172;4974;806920;37.906.976.744.186.000;9;6;False
29.04.2026;174;5020;805135;3.781.609.195.402.290;9;4;False
29.05.2026;165;5036;807780;39.454.545.454.545.400;9;7;False
29.07.2025;159;5010;803540;39.748.427.672.955.900;9;6;False
29.08.2025;157;5069;804490;4.095.541.401.273.880;9;6;False
29.09.2025;136;4247;680385;3.875;9;5;True
29.10.2025;177;4904;806610;411.864.406.779.661;9;6;False
29.11.2025;159;4335;682810;37.672.955.974.842.700;9;8;True
29.12.2025;146;4373;684025;3.787.671.232.876.710;9;7;True
30.01.2026;157;4929;803515;3.713.375.796.178.340;9;6;False
30.03.2026;149;4375;678895;3.791.946.308.724.830;9;6;True
30.04.2026;168;5175;804220;39.047.619.047.619.000;9;8;False
30.05.2026;155;4279;683910;4.019.354.838.709.670;9;7;True
30.06.2025;133;4362;683180;38.345.864.661.654.100;9;6;True
30.07.2025;158;4768;805075;4.050.632.911.392.400;9;6;False
30.08.2025;153;4397;681470;3.803.921.568.627.450;9;7;True
30.09.2025;176;4943;807585;3.710.227.272.727.270;9;5;False
30.10.2025;147;4774;807200;41.768.707.482.993.100;9;5;False
30.12.2025;157;4754;805895;38.980.891.719.745.200;9;7;False
31.01.2026;138;4073;682390;37.246.376.811.594.200;9;8;True
31.03.2026;162;4844;808065;38.518.518.518.518.500;9;7;False
31.07.2025;159;5032;807485;39.245.283.018.867.900;9;7;False
31.10.2025;164;5024;805345;37.439.024.390.243.900;9;6;False
31.12.2025;165;4833;806350;3.909.090.909.090.900;9;6;False
