Plan_Tarihi;Hat_Kodu;Hat_Adi;Is_Emri_Sira;Urun_Kodu;Urun_Adi;Malzeme_Kodu;Izolasyon_Cinsi;Zorluk_Derecesi;Planlanan_Bobin;Planlanan_Metraj;Bobin_Metraj;Operator_Kodu;Tahmini_Sure_Saat;Bakim_Gunu;Kapasite_Kullanim
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;43;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;46;2760;60;OPR-1004;�ub.27;True;37.6
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;44;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;43;4300;100;OPR-1004;�ub.62;True;49.6
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;45;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;15;900;60;OPR-1004;Oca.25;True;52.1
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;46;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;51;3060;60;OPR-1004;�ub.43;True;60.6
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;47;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;15;1500;100;OPR-1004;1.Mar;True;64.7
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;48;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;29;2320;80;OPR-1004;Oca.85;True;71.2
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;49;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;45;3600;80;OPR-1004;2.May;True;81.2
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;50;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;40;2400;60;OPR-1004;2.Tem;True;87.8
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;51;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;25;2500;100;OPR-1004;Oca.77;True;94.8
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;52;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;8;800;100;OPR-1004;0.98;True;97.0
2.06.2025;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;53;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;7;700;100;OPR-1004;0.93;True;98.9
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;54;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;PVC;1;9;2700;300;OPR-2001;0.6;True;2.0
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;55;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;41;4100;100;OPR-2001;0.86;True;5.Oca
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;56;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;25;5000;200;OPR-2001;Oca.24;True;8.Eyl
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;57;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;46;4600;100;OPR-2001;0.92;True;12.Nis
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;58;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;30;7500;250;OPR-2001;Oca.27;True;18.0
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;59;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;34;6800;200;OPR-2001;Oca.47;True;23.�ub
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;60;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;21;2100;100;OPR-2001;0.61;True;24.Tem
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;61;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;20;2000;100;OPR-2001;0.6;True;26.�ub
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;62;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;40;8000;200;OPR-2001;Oca.62;True;32.3
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;63;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;21;6405;305;OPR-2001;Oca.23;True;37.1
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;64;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;42;8400;200;OPR-2001;Oca.67;True;43.4
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;65;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;42;10500;250;OPR-2001;Oca.63;True;51.4
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;66;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;28;7000;250;OPR-2001;Oca.21;True;56.6
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;67;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;13;1300;100;OPR-2001;0.52;True;57.6
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;68;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;36;10980;305;OPR-2001;Oca.79;True;65.9
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;69;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;53;5300;100;OPR-2001;0.91;True;69.9
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;70;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;60;6000;100;OPR-2001;0.99;True;74.4
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;71;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;14;1400;100;OPR-2001;0.45;True;75.5
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;72;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;15;3000;200;OPR-2001;0.98;True;77.7
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;73;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;32;6400;200;OPR-2001;Oca.42;True;82.6
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;74;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;9;2745;305;OPR-2001;0.78;True;84.6
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;75;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;29;7250;250;OPR-2001;Oca.24;True;90.1
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;76;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;34;10370;305;OPR-2001;Oca.72;True;97.9
2.06.2025;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;77;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;7;2135;305;OPR-2001;0.7;True;99.5
2.06.2025;XTR-2001;Özel Üretim Extruder Hattı Epsilon;78;KBL-701;Fiber Optik SM 12C Dış Tesisat;FO-SM-9;LSZH;8;39;39000;1000;OPR-2001;19.41;True;86.7
2.06.2025;XTR-2001;Özel Üretim Extruder Hattı Epsilon;79;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;LSZH;9;7;5600;800;OPR-2001;Mar.79;True;99.1
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;80;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;23;4600;200;OPR-2003;Oca.32;True;5.0
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;81;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Halogen-Free;4;15;2250;150;OPR-2003;0.96;True;7.May
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;82;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Halogen-Free;4;5;750;150;OPR-2003;0.67;True;8.Mar
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;83;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;37;7400;200;OPR-2003;Oca.74;True;16.Mar
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;84;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;XLPE;4;37;5550;150;OPR-2003;Oca.61;True;22.Nis
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;85;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;60;12000;200;OPR-2003;�ub.74;True;35.5
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;86;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;58;11600;200;OPR-2003;�ub.52;True;48.1
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;87;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Kauçuk;6;43;4300;100;OPR-2003;Oca.58;True;52.8
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;88;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;XLPE;4;14;2100;150;OPR-2003;0.93;True;55.1
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;89;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;53;10600;200;OPR-2003;�ub.33;True;66.6
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;90;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;XLPE;4;39;5850;150;OPR-2003;Oca.67;True;73.0
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;91;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Kauçuk;6;5;500;100;OPR-2003;0.78;True;73.5
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;92;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Kauçuk;6;25;2500;100;OPR-2003;1.�ub;True;76.3
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;93;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Halogen-Free;4;6;900;150;OPR-2003;0.7;True;77.2
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;94;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;28;5600;200;OPR-2003;Oca.51;True;83.3
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;95;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;20;4000;200;OPR-2003;1.Oca;True;87.7
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;96;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;20;4000;200;OPR-2003;Oca.21;True;92.0
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;97;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;CU-ETP;Kauçuk;6;10;1000;100;OPR-2003;0.89;True;93.1
2.06.2025;XTR-2002;Standart Extruder Hattı Zeta;98;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;PVC;3;28;5600;200;OPR-2003;Oca.51;True;99.2
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;99;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;54;3240;60;OPR-2003;�ub.58;True;8.0
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;100;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;13;1300;100;OPR-2003;Oca.22;True;11.�ub
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;101;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;35;2100;60;OPR-2003;Oca.94;True;16.Nis
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;102;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;15;900;60;OPR-2003;Oca.26;True;18.Haz
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;103;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;38;3040;80;OPR-2003;�ub.25;True;26.Oca
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;104;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;32;1920;60;OPR-2003;Oca.84;True;30.Eyl
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;105;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;39;3900;100;OPR-2003;�ub.47;True;40.5
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;106;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;49;2940;60;OPR-2003;�ub.41;True;47.8
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;107;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;50;5000;100;OPR-2003;3.0;True;60.1
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;108;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;30;2400;80;OPR-2003;Oca.92;True;66.0
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;109;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;46;2760;60;OPR-2003;�ub.31;True;72.8
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;110;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;33;2640;80;OPR-2003;2.Nis;True;79.4
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;111;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;33;1980;60;OPR-2003;Oca.87;True;84.2
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;112;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;20;2000;100;OPR-2003;Oca.56;True;89.2
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;113;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;9;900;100;OPR-2003;1.Mar;True;91.4
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;114;KBL-302;YVV 3x35 mm² Ağır Sanayi;AL-1350;XLPE;6;6;480;80;OPR-2003;0.93;True;92.6
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;115;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;XLPE;7;40;2400;60;OPR-2003;2.Oca;True;98.5
2.06.2025;XTR-2003;Ağır Hizmet Extruder Hattı Eta;116;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;XLPE;5;5;500;100;OPR-2003;0.84;True;99.8
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;117;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;50;5000;100;OPR-2001;1.A�u;True;4.May
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;118;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;PVC;1;19;1900;100;OPR-2001;0.55;True;6.Oca
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;119;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;7;700;100;OPR-2001;0.46;True;6.A�u
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;120;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;PVC;1;9;2700;300;OPR-2001;0.66;True;9.�ub
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;121;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;20;4000;200;OPR-2001;Oca.21;True;12.Tem
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;122;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Halogen-Free;2;47;9400;200;OPR-2001;Oca.71;True;21.Oca
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;123;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;18;5490;305;OPR-2001;Oca.25;True;26.0
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;124;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;LSZH;5;13;2600;200;OPR-2001;1.0;True;28.Mar
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;125;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Kauçuk;3;41;6150;150;OPR-2001;Oca.34;True;33.8
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;126;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;20;6100;305;OPR-2001;Oca.34;True;39.3
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;127;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;PE;3;56;17080;305;OPR-2001;�ub.95;True;54.5
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;128;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;17;4250;250;OPR-2001;0.97;True;58.3
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;129;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;PVC;2;11;1100;100;OPR-2001;0.52;True;59.2
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;130;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;27;6750;250;OPR-2001;Oca.33;True;65.3
2.06.2025;XTR-2004;Kombine Extruder Hattı Theta;131;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;PVC;2;31;7750;250;OPR-2001;Oca.47;True;72.2
